pH,Turbidity,Chlorine,Dissolved Oxygen,Temperature,Potability
7.73,8.22,0.72,7.69,50,FALSE
7.06,1.5,0.93,7.69,50,TRUE
6.13,4.25,0.96,6.59,25,TRUE
7.65,2.46,0.61,7.3,0,TRUE
7.47,3.03,0.53,7.12,0,TRUE
7.91,1.77,0.9,6.66,50,TRUE
6.61,1.41,0.72,7.12,0,TRUE
7.41,1.51,0.61,7.26,25,TRUE
8.64,2.22,0.84,6.99,50,TRUE
7.22,3.16,0.95,6.69,0,TRUE
6.95,2.39,0.58,7.65,25,TRUE
8.12,2.93,0.74,6.76,50,TRUE
7.34,2.92,0.55,7.46,50,TRUE
10.26,1.07,0.81,6.77,50,FALSE
6.97,4.7,0.77,7.72,25,TRUE
7.37,3.72,0.64,6.86,25,TRUE
7.2,3.74,0.75,7.94,0,TRUE
7.48,1.18,0.91,7.82,50,TRUE
7.4,1.58,0.68,7.59,0,TRUE
8.18,3.94,0.52,7.98,0,TRUE
7.25,4.45,0.93,7.89,0,TRUE
6.93,1.53,0.97,6.98,25,TRUE
7.04,2.12,0.82,7.27,50,TRUE
7.69,4.52,0.91,7.16,50,TRUE
6.94,2.52,0.53,7.05,25,TRUE
8.95,4.25,0.57,7.85,50,TRUE
6.82,1.5,0.82,6.51,25,FALSE
8.61,2.84,0.9,6.92,50,TRUE
8.32,3.21,0.69,7.0,50,TRUE
6.7,2.42,0.96,7.7,0,TRUE
7.82,1.74,0.68,7.89,25,TRUE
6.43,2.07,0.89,7.9,25,TRUE
7.77,4.84,0.69,7.87,50,TRUE
7.52,2.32,0.81,7.97,0,TRUE
6.72,4.81,0.94,7.58,25,TRUE
8.64,3.3,0.78,6.55,50,TRUE
7.8,2.38,0.99,7.44,25,TRUE
6.91,3.04,0.71,7.14,25,TRUE
7.1,2.06,0.75,7.69,50,TRUE
7.48,4.57,10.52,7.75,0,FALSE
7.61,1.43,0.88,7.5,0,TRUE
6.75,1.73,0.83,6.55,25,TRUE
7.18,3.9,0.51,7.51,50,TRUE
